salted caramel sundae;1.0000000000;19;0.3442268502
baked brie;1.0000000000;24;0.3348261134
artichoke spread;1.0000000000;26;0.3324826741
duck and foie gras ravioli;1.0000000000;36;0.3232373835
pig ears;1.0000000000;26;0.3103330636
chocolate ganache;1.0000000000;21;0.3006714806
mozzarella sandwich;1.0000000000;33;0.2838557599
white truffle;1.0000000000;57;0.2576135674
fennel sausage;0.9718309859;71;0.2698590088
bruschetta board;0.9545454545;88;0.3494416638
ciabatta bread;0.9444444444;36;0.2524482232
caramel gelato;0.9393939394;33;0.2644185572
creme brûlée;0.9375000000;32;0.3792278798
fig jam;0.9285714286;28;0.3295192884
kobe beef;0.9259259259;27;0.2835273691
brie and apple;0.9166666667;24;0.3113069202
fritto misto;0.9130434783;23;0.2970066205
carrot cake;0.9130434783;23;0.2216548920
parmigiano reggiano;0.9000000000;20;0.2827341170
antipasto platter;0.8974358974;39;0.2833499384
bottomless mimosa;0.8947368421;19;0.2833905568
portobello mushroom;0.8857142857;35;0.2693744811
bread pudding;0.8736842105;95;0.2886821969
mascarpone;0.8688524590;183;0.2949630699
pizza muffins;0.8636363636;44;0.2933647915
brussel sprout;0.8632478632;117;0.3205252096
ahi tuna;0.8620689655;29;0.3270109140
panna cotta;0.8585858586;99;0.2981223731
anti pasta;0.8571428571;28;0.3410064929
sauteed mushrooms;0.8571428571;28;0.2675309487
creme brule;0.8518518519;162;0.3050891964
wedding cake;0.8461538462;26;0.3311231664
creme brulee;0.8461538462;143;0.3018067830
egg roll;0.8461538462;26;0.2631881971
risotto balls;0.8421052632;38;0.3220515012
roasted red pepper;0.8414634146;164;0.2443435823
roasted tomato;0.8412698413;63;0.2741045905
dark chocolate;0.8412698413;63;0.2462915919
buffalo wing;0.8285714286;35;0.2796067681
beef tenderloin;0.8260869565;23;0.3409621681
creamy polenta;0.8260869565;46;0.3145692606
shaved parmesan;0.8260869565;23;0.2894995703
smoked salmon;0.8260869565;92;0.2861497146
truffle fries;0.8260869565;23;0.2853183563
grated parmesan;0.8260869565;23;0.2673344679
banana bread;0.8260869565;23;0.2336534186
brussels sprout;0.8235294118;34;0.2519172147
peach bellini;0.8181818182;22;0.3341825950
potato gnocchi;0.8181818182;33;0.2935800314
lobster gnocchi;0.8139534884;43;0.2883227655
chocolate gelato;0.8125000000;32;0.2927706676
black truffles;0.8125000000;32;0.2675604843
grilled asparagus;0.8125000000;32;0.2484169604
spicy sausage;0.8108108108;74;0.2767827427
roasted peppers;0.8103448276;116;0.2782295695
sweet peppers;0.8095238095;42;0.2521005810
stuffed peppers;0.8095238095;21;0.2477279408
antipasti;0.8090452261;199;0.2888207587
lava cake;0.8048780488;41;0.2948113022
sundried tomato;0.8032786885;61;0.2282576984
chocolate cake;0.8007380074;271;0.2859303769
pork belly;0.7966101695;118;0.2790790099
caramelized onions;0.7938144330;97;0.2478370306
beef carpaccio;0.7931034483;116;0.2870296215
flourless chocolate cake;0.7931034483;29;0.2542024651
funghi pizza;0.7894736842;19;0.3466371017
butternut squash ravioli;0.7894736842;76;0.3335938139
antipasto salad;0.7880794702;151;0.2937817963
pine nuts;0.7872340426;141;0.2550998572
wild mushroom;0.7872340426;94;0.2548071262
grilled shrimp;0.7857142857;28;0.2870986841
braised beef;0.7837837838;37;0.2720064782
artichoke hearts;0.7834394904;157;0.2338249499
meatball sliders;0.7826086957;46;0.3481948300
deep dish pizza;0.7826086957;184;0.2201697255
squid ink risotto;0.7777777778;27;0.2932629851
sweet potato fries;0.7777777778;27;0.2752175356
jumbo shrimp;0.7777777778;36;0.2231317842
sun dried tomato;0.7777777778;117;0.2229549922
chocolate mousse;0.7741935484;62;0.2936711897
tiramisu;0.7718894009;868;0.2945911383
vanilla gelato;0.7714285714;35;0.3327045984
pulled pork;0.7714285714;35;0.2957752781
steak sandwich;0.7704918033;61;0.2396723174
pork loin;0.7692307692;26;0.2556131625
pastrami sandwich;0.7692307692;26;0.2430225469
rice balls;0.7674418605;86;0.2708370232
grilled octopus;0.7534246575;73;0.3061589712
stuffed pizza;0.7523809524;105;0.2704162869
butternut squash;0.7516339869;153;0.3084185149
hash browns;0.7500000000;32;0.2187373894
pesto sauce;0.7477477477;111;0.2673524456
brick oven pizza;0.7454545455;55;0.2862418884
wood fired pizza;0.7446808511;94;0.3135459694
corned beef;0.7419354839;31;0.2625488023
salmon salad;0.7419354839;31;0.2593247979
ribeye steak;0.7391304348;23;0.3188813010
lamb shank;0.7333333333;30;0.2809255225
homemade pasta;0.7311827957;186;0.3156513087
clam chowder;0.7307692308;52;0.2714165728
raviolini;0.7272727273;22;0.2989036541
